cod_familiar;faixa_renda;loteamento;qtd_pessoas;renda_total_declarada;renda_per_capita
5656884210;5 a 10 SM;JARDIM DAS COLINAS;3.0;8667;2889.0
8682497930;5 a 10 SM;JARDIM NOVO CAMBUI;4.0;11540;2885.0
7943063813;5 a 10 SM;JARDIM EVEREST;4.0;11532;2883.0
7733130522;5 a 10 SM;JARDIM VILLAGIO GHIRALDELLI;3.0;8607;2869.0
5179279003;5 a 10 SM;JARDIM INTERLAGOS;3.0;8586;2862.0
5615888482;5 a 10 SM;JARDIM GOLDEN PARK RESIDENCE;5.0;14286;2857.2
8091846134;5 a 10 SM;JARDIM SAO CAMILO;3.0;8559;2853.0
8242306982;5 a 10 SM;JARDIM BOA ESPERANCA;4.0;11408;2852.0
3491110149;5 a 10 SM;REMANSO CAMPINEIRO;3.0;8550;2850.0
7195743233;5 a 10 SM;JARDIM SUMAREZINHO;3.0;8544;2848.0
8563822721;5 a 10 SM;JARDIM SANTA CLARA DO LAGO;3.0;8538;2846.0
7947333360;5 a 10 SM;PARQUE PERON;3.0;8514;2838.0
7421721711;5 a 10 SM;JARDIM INTERLAGOS;3.0;8499;2833.0
5809421393;5 a 10 SM;JARDIM TERRAS DE SANTO ANTONIO;3.0;8487;2829.0
3136698800;5 a 10 SM;CHACARAS LUZITANA;3.0;8475;2825.0
7157396203;5 a 10 SM;NOVA EUROPA;3.0;8463;2821.0
2566263914;5 a 10 SM;JARDIM NOVA EUROPA;3.0;8448;2816.0
7996794375;5 a 10 SM;PARQUE DOS PINHEIROS;4.0;11264;2816.0
8491437304;5 a 10 SM;VILA REAL;4.0;11264;2816.0
7874088409;5 a 10 SM;NOVO ANGULO;3.0;8445;2815.0
7493803650;5 a 10 SM;JARDIM INTERLAGOS;3.0;8436;2812.0
8291529116;5 a 10 SM;JARDIM SANTA CLARA DO LAGO;3.0;8418;2806.0
7612122995;5 a 10 SM;JARDIM SUMAREZINHO;3.0;8406;2802.0
7281198701;5 a 10 SM;VILA REAL CONTINUACAO;3.0;8403;2801.0
8317676692;5 a 10 SM;JARDIM ADELAIDE;3.0;8397;2799.0
4236342910;5 a 10 SM;CHACARA REYMAR;4.0;11164;2791.0
8813493720;5 a 10 SM;JARDIM CONCEICAO;3.0;8367;2789.0
8823398266;5 a 10 SM;JARDIM SAO BENTO;3.0;8364;2788.0
20221707689;5 a 10 SM;JARDIM NOVA ALVORADA;4.0;11120;2780.0
7842226571;5 a 10 SM;PARQUE SAO MIGUEL;3.0;8322;2774.0
8648640512;5 a 10 SM;JARDIM NOSSA SENHORA DE LOURDES;5.0;13830;2766.0
8049457729;5 a 10 SM;VILA SAO PEDRO;3.0;8277;2759.0
8373577807;5 a 10 SM;JARDIM NOVA HORTOLANDIA;3.0;8277;2759.0
8385603859;5 a 10 SM;JARDIM NOVA AMERICA;4.0;10996;2749.0
8369174809;5 a 10 SM;JARDIM EVEREST;3.0;8212;2737.33
8614232322;5 a 10 SM;JARDIM NOVO ANGULO;3.0;8202;2734.0
6371524844;5 a 10 SM;PARQUE DO HORTO;5.0;13665;2733.0
6432292131;5 a 10 SM;JARDIM ROSOLEN;3.0;8193;2731.0
7085542888;5 a 10 SM;CHACARA BOA VISTA;4.0;10920;2730.0
7913629495;5 a 10 SM;JARDIM SUMAREZINHO;3.0;8190;2730.0
5523259888;5 a 10 SM;JARDIM SUMAREZINHO;3.0;8184;2728.0
6872818069;5 a 10 SM;REMANSO CAMPINEIRO;3.0;8181;2727.0
6345326852;5 a 10 SM;JARDIM FIGUEIRA;3.0;8169;2723.0
7661357216;5 a 10 SM;JARDIM DAS FIGUEIRAS II;3.0;8136;2712.0
6840810240;5 a 10 SM;JARDIM SAO SEBASTIAO;3.0;8133;2711.0
8575329790;5 a 10 SM;JARDIM NOVO ANGULO;4.0;10840;2710.0
6365876491;5 a 10 SM;JARDIM AMANDA II;3.0;8091;2697.0
